Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV
20130211,Kansas Jayhawks,(Favorite),83,-8.0,-7.5,-360.0,0.2777777777777778,0.7666696621135873,-0.020366542854860614
,Kansas State Wildcats,(Underdog),62,7.5,8.0,330.0,3.3,0.23333033788641266,0.0033204529115744563

20130212,Virginia Cavaliers,(Favorite),73,-14.0,-14.0,-1300.0,0.07692307692307693,0.9209039548022598,-0.008257279443720164
,Virginia Tech Hokies,(Underdog),55,14.0,14.0,900.0,9.0,0.07909604519774012,-0.20903954802259872

20130212,Florida Gators,(Favorite),69,-10.5,-10.0,-600.0,0.16666666666666666,0.8452955905245981,-0.013821811054635535
,Kentucky Wildcats,(Underdog),52,10.0,10.5,500.0,5.0,0.15470440947540184,-0.07177354314758888

20130212,Michigan Wolverines,(Favorite),52,-2.0,-1.0,-120.0,0.8333333333333334,0.5187658253672669,-0.04892932016001067
,Michigan State Spartans,(Underdog),75,1.0,2.0,125.0,1.25,0.48123417463273305,0.08277689292364943

20130212,Alabama Crimson Tide,(Favorite),52,-1.5,-1.5,-120.0,0.8333333333333334,0.515832482124617,-0.05430711610486888
,Georgia Bulldogs,(Underdog),45,1.5,1.5,105.0,1.05,0.48416751787538304,-0.0074565883554648105

20130213,Boston College Eagles,(Favorite),66,-5.5,-5.5,-240.0,0.4166666666666667,0.6824395373291272,-0.03321065545040308
,Wake Forest Demon Deacons,(Underdog),63,5.5,5.5,200.0,2.0,0.3175604626708728,-0.04731861198738163

20130213,Indiana Hoosiers,(Favorite),76,-24.0,-23.0,-13650.0,0.007326007326007326,0.9851239669421488,-0.007659007659007654
,Nebraska Cornhuskers,(Underdog),47,23.0,24.0,7350.0,73.5,0.01487603305785124,0.10826446280991742

20130213,Miami-Florida Hurricanes,(Favorite),74,-6.0,-5.5,-245.0,0.40816326530612246,0.6971053572234194,-0.018361843909878828
,Florida State Seminoles,(Underdog),68,5.5,6.0,225.0,2.25,0.3028946427765805,-0.015592410976113302

20130214,Georgia Tech Yellow Jackets,(Favorite),53,-4.0,-3.5,-160.0,0.625,0.6386697812098475,0.037838394466002234
,Clemson Tigers,(Underdog),56,3.5,4.0,170.0,1.7,0.3613302187901524,-0.024408409266588493

20130214,Minnesota Golden Gophers,(Favorite),58,-6.0,-5.0,-240.0,0.4166666666666667,0.6874552330068595,-0.026105086573615655
,Wisconsin Badgers,(Underdog),53,5.0,6.0,230.0,2.3,0.31254476699314043,0.03139773107736343

20130214,Ohio State Buckeyes,(Favorite),69,-17.0,-16.5,-3000.0,0.03333333333333333,0.9527684875510962,-0.015472562863867237
,Northwestern Wildcats,(Underdog),59,16.5,17.0,1400.0,14.0,0.04723151244890376,-0.29152731326644366

20130214,South Carolina Gamecocks,(Favorite),46,-1.5,-1.0,-115.0,0.8695652173913043,0.5099087435136949,-0.04669234908309222
,Louisiana State Tigers,(Underdog),64,1.0,1.5,100.0,1.0,0.49009125648630514,-0.019817487027389724

20130214,Iowa Hawkeyes,(Favorite),74,-8.0,-8.0,-380.0,0.2631578947368421,0.7672872340425532,-0.030795072788353917
,Penn State Nittany Lions,(Underdog),72,8.0,8.0,320.0,3.2,0.2327127659574468,-0.022606382978723305

20130214,California Golden Bears,(Favorite),76,-2.0,-2.0,-130.0,0.7692307692307693,0.5589482612383376,-0.011091537809094942
,UCLA Bruins,(Underdog),63,2.0,2.0,125.0,1.25,0.4410517387616624,-0.007633587786259555

20130216,Florida State Seminoles,(Favorite),69,-6.0,-3.0,-240.0,0.4166666666666667,0.6948494747590371,-0.01562991075803072
,Boston College Eagles,(Underdog),66,3.0,6.0,220.0,2.2,0.30515052524096303,-0.02351831922891834

20130216,North Carolina Tar Heels,(Favorite),93,-5.5,-4.0,-200.0,0.5,0.6652574993644474,-0.00211375095332883
,Virginia Cavaliers,(Underdog),81,4.0,5.5,180.0,1.8,0.3347425006355525,-0.06272099822045307

20130216,Florida Gators,(Favorite),83,-18.5,-16.5,-2500.0,0.04,0.9539520090534125,-0.007889910584451015
,Auburn Tigers,(Underdog),52,16.5,18.5,1400.0,14.0,0.04604799094658747,-0.30928013580118785

20130216,Oklahoma State Cowboys,(Favorite),84,-9.0,-9.0,-430.0,0.23255813953488372,0.8107302533532041,-0.0007278272623297832
,Oklahoma Sooners,(Underdog),79,9.0,9.0,400.0,4.0,0.18926974664679583,-0.05365126676602083

20130216,Iowa State Cyclones,(Favorite),87,-18.5,-17.5,-3000.0,0.03333333333333333,0.9677740052218151,3.313872920895217e-05
,Texas Christian Horned Frogs,(Underdog),53,17.5,18.5,1500.0,15.0,0.03222599477818491,-0.4843840835490414

20130216,Alabama Crimson Tide,(Favorite),68,-12.0,-12.0,-800.0,0.125,0.8809523809523809,-0.008928571428571452
,South Carolina Gamecocks,(Underdog),58,12.0,12.0,600.0,6.0,0.11904761904761904,-0.16666666666666674

20130216,Stanford Cardinal,(Favorite),80,-4.5,-4.0,-200.0,0.5,0.6588147146970676,-0.011777927954398526
,UCLA Bruins,(Underdog),88,4.0,4.5,180.0,1.8,0.34118528530293235,-0.04468120115178942

20130216,West Virginia Mountaineers,(Favorite),66,-14.0,-14.0,-1300.0,0.07692307692307693,0.9211267605633803,-0.008017334777898164
,Texas Tech Red Raiders,(Underdog),64,14.0,14.0,900.0,9.0,0.07887323943661972,-0.21126760563380276

20130216,Louisiana State Tigers,(Favorite),80,-12.0,-7.0,-800.0,0.125,0.8643551041221113,-0.027600507862624843
,Mississippi State Bulldogs,(Underdog),68,7.0,12.0,650.0,6.5,0.13564489587788883,0.01733671908416623

20130216,Kansas State Wildcats,(Favorite),81,-5.0,-4.5,-180.0,0.5555555555555556,0.6644259444259444,0.03355146910702461
,Baylor Bears,(Underdog),61,4.5,5.0,180.0,1.8,0.33557405557405556,-0.06039264439264436

20130216,Oregon Ducks,(Favorite),79,-5.0,-3.5,-170.0,0.5882352941176471,0.6462565453881717,0.026407454440037392
,Washington State Cougars,(Underdog),77,3.5,5.0,180.0,1.8,0.35374345461182843,-0.009518327086880385

20130216,Michigan State Spartans,(Favorite),73,-9.5,-9.5,-550.0,0.18181818181818182,0.8548951048951049,0.010330578512396688
,Nebraska Cornhuskers,(Underdog),64,9.5,9.5,375.0,3.75,0.1451048951048951,-0.3107517482517482

20130216,Colorado Buffaloes,(Favorite),62,-7.5,-7.0,-320.0,0.3125,0.7580664449149843,-0.005037791049083085
,Arizona State Sun Devils,(Underdog),63,7.0,7.5,290.0,2.9,0.24193355508501563,-0.056459135168439034

20130216,Kansas Jayhawks,(Favorite),73,-14.5,-13.5,-1100.0,0.09090909090909091,0.9262995013302674,0.01050854690574625
,Texas Longhorns,(Underdog),47,13.5,14.5,900.0,9.0,0.07370049866973265,-0.2629950133026736

20130217,Wisconsin Badgers,(Favorite),71,-3.5,-3.5,-160.0,0.625,0.6312323612417686,0.02575258701787403
,Ohio State Buckeyes,(Underdog),49,3.5,3.5,165.0,1.65,0.36876763875823143,-0.02276575729068664

20130217,Minnesota Golden Gophers,(Favorite),51,-2.0,1.0,-120.0,0.8333333333333334,0.5152061078487861,-0.055455468943892194
,Iowa Hawkeyes,(Underdog),72,-1.0,2.0,110.0,1.1,0.48479389215121377,0.01806717351754905

20130217,Illinois Fighting Illini,(Favorite),62,-3.5,-3.0,-160.0,0.625,0.6297067886420796,0.02327353154337941
,Northwestern Wildcats,(Underdog),41,3.0,3.5,155.0,1.55,0.3702932113579204,-0.055752311037302826

20130217,California Golden Bears,(Favorite),76,-8.0,-8.0,-360.0,0.2777777777777778,0.7671957671957672,-0.019694297472075212
,Southern California Trojans,(Underdog),68,8.0,8.0,320.0,3.2,0.2328042328042328,-0.022222222222222254

20130218,Pittsburgh Panthers,(Favorite),42,-11.0,-10.0,-550.0,0.18181818181818182,0.8474332731323662,0.0015120500655236568
,Notre Dame Fighting Irish,(Underdog),51,10.0,11.0,550.0,5.5,0.15256672686763384,-0.008316275360380043

20130218,Kansas State Wildcats,(Favorite),71,-11.5,-10.5,-650.0,0.15384615384615385,0.851808176100629,-0.017144412191581943
,West Virginia Mountaineers,(Underdog),61,10.5,11.5,500.0,5.0,0.14819182389937105,-0.11084905660377375

20130219,Tennessee Volunteers,(Favorite),82,-7.5,-7.0,-320.0,0.3125,0.7486614011033221,-0.017381911051889687
,Louisiana State Tigers,(Underdog),72,7.0,7.5,300.0,3.0,0.2513385988966778,0.005354395586711247

20130219,Michigan State Spartans,(Favorite),68,-2.0,-1.0,-120.0,0.8333333333333334,0.5212232609572397,-0.04442402157839387
,Indiana Hoosiers,(Underdog),72,1.0,2.0,115.0,1.15,0.47877673904276025,0.029369988941934433

20130219,North Carolina State Wolfpack,(Favorite),84,-8.0,-7.5,-350.0,0.2857142857142857,0.7674185825407832,-0.013318965304707303
,Florida State Seminoles,(Underdog),66,7.5,8.0,325.0,3.25,0.23258141745921676,-0.011528975798328789

20130219,Texas Longhorns,(Favorite),68,-5.5,-5.5,-240.0,0.4166666666666667,0.6830543933054394,-0.03233960948396086
,Texas Christian Horned Frogs,(Underdog),59,5.5,5.5,200.0,2.0,0.3169456066945607,-0.04916317991631802

20130219,Florida Gators,(Favorite),60,-5.0,-5.0,-210.0,0.47619047619047616,0.667016806722689,-0.015356142456982858
,Missouri Tigers,(Underdog),63,5.0,5.0,195.0,1.95,0.3329831932773109,-0.017699579831932932

20130219,Miami-Florida Hurricanes,(Favorite),54,-9.0,-7.5,-380.0,0.2631578947368421,0.7831798610013364,-0.010720175577259294
,Virginia Cavaliers,(Underdog),50,7.5,9.0,360.0,3.6,0.21682013899866354,-0.002627360606147766

20130219,North Carolina Tar Heels,(Favorite),70,-4.0,-3.5,-165.0,0.6060606060606061,0.6409819512810804,0.02945586114840182
,Georgia Tech Yellow Jackets,(Underdog),58,3.5,4.0,160.0,1.6,0.3590180487189196,-0.06655307333080895

20130220,Ohio State Buckeyes,(Favorite),71,-6.5,-5.5,-260.0,0.38461538461538464,0.7159331805329762,-0.0087079038774176
,Minnesota Golden Gophers,(Underdog),45,5.5,6.5,250.0,2.5,0.2840668194670238,-0.005766131865416857

20130220,Oklahoma Sooners,(Favorite),86,-9.5,-9.5,-480.0,0.20833333333333334,0.8548951048951049,0.032998251748251745
,Texas Tech Red Raiders,(Underdog),71,9.5,9.5,425.0,4.25,0.1451048951048951,-0.23819930069930073

20130220,Mississippi Rebels,(Favorite),62,-6.0,-6.0,-240.0,0.4166666666666667,0.7149075081610446,0.012785636561479907
,South Carolina Gamecocks,(Underdog),63,6.0,6.0,210.0,2.1,0.2850924918389554,-0.1162132752992382

20130221,Arkansas Razorbacks,(Favorite),62,-10.5,-10.0,-650.0,0.15384615384615385,0.8430941607412196,-0.027199045298592794
,Georgia Bulldogs,(Underdog),60,10.0,10.5,500.0,5.0,0.15690583925878043,-0.0585649644473174

20130221,Duke Blue Devils,(Favorite),88,-13.0,-12.5,-1000.0,0.1,0.9001154216813465,-0.009873036150518835
,Virginia Tech Hokies,(Underdog),56,12.5,13.0,700.0,7.0,0.09988457831865348,-0.20092337345077216

20130221,Oregon Ducks,(Favorite),46,-6.0,-6.0,-260.0,0.38461538461538464,0.7155266015200868,-0.009270859433725909
,California Golden Bears,(Underdog),48,6.0,6.0,220.0,2.2,0.28447339847991315,-0.08968512486427782

20130223,Maryland Terrapins,(Favorite),72,-6.0,-5.5,-250.0,0.4,0.6988195079385301,-0.02165268888605787
,Clemson Tigers,(Underdog),59,5.5,6.0,210.0,2.1,0.3011804920614699,-0.06634047460944326

20130223,Miami-Florida Hurricanes,(Favorite),65,-7.5,-7.0,-320.0,0.3125,0.7637468874430561,0.0024177897690111083
,Wake Forest Demon Deacons,(Underdog),80,7.0,7.5,300.0,3.0,0.236253112556944,-0.054987549772223976

20130223,Vanderbilt Commodores,(Favorite),72,-4.0,-3.5,-165.0,0.6060606060606061,0.6432059319381771,0.03302770887040568
,Mississippi State Bulldogs,(Underdog),31,3.5,4.0,155.0,1.55,0.356794068061823,-0.09017512644235126

20130223,Iowa State Cyclones,(Favorite),86,-19.0,-17.5,-7750.0,0.012903225806451613,0.9796624708161663,-0.0076967231087863835
,Texas Tech Red Raiders,(Underdog),66,17.5,19.0,4250.0,42.5,0.0203375291838338,-0.11531748050322976

20130223,Oklahoma State Cowboys,(Favorite),73,-3.5,-3.0,-145.0,0.6896551724137931,0.6274013644830204,0.060091960678206935
,West Virginia Mountaineers,(Underdog),57,3.0,3.5,145.0,1.45,0.3725986355169795,-0.08713334298340025

20130223,Arizona Wildcats,(Favorite),73,-15.5,-15.5,-1600.0,0.0625,0.9655172413793103,0.025862068965517168
,Washington State Cougars,(Underdog),56,15.5,15.5,1050.0,10.5,0.034482758620689655,-0.603448275862069

20130223,North Carolina Tar Heels,(Favorite),76,-6.5,-6.0,-250.0,0.4,0.728848661771197,0.020388126479675805
,North Carolina State Wolfpack,(Underdog),65,6.0,6.5,250.0,2.5,0.271151338228803,-0.05097031619918957

20130223,Mississippi Rebels,(Favorite),88,-12.5,-11.5,-800.0,0.125,0.8887559744209316,-0.00014952877645198204
,Auburn Tigers,(Underdog),55,11.5,12.5,700.0,7.0,0.11124402557906848,-0.11004779536745213

20130223,Oklahoma Sooners,(Favorite),90,-4.5,-4.0,-175.0,0.5714285714285714,0.6477724259291749,0.017928097888703476
,Baylor Bears,(Underdog),76,4.0,4.5,170.0,1.7,0.35222757407082517,-0.04898555000877203

20130225,Kansas State Wildcats,(Favorite),75,-19.0,-18.0,-3500.0,0.02857142857142857,0.9846449489711739,0.012777661798921765
,Texas Tech Red Raiders,(Underdog),55,18.0,19.0,1700.0,17.0,0.015355051028825983,-0.7236090814811323

20130225,Kansas Jayhawks,(Favorite),108,-2.5,-2.0,-130.0,0.7692307692307693,0.5615946824939331,-0.006409407895349162
,Iowa State Cyclones,(Underdog),96,2.0,2.5,125.0,1.25,0.43840531750606687,-0.01358803561134947

20130227,Michigan Wolverines,(Favorite),78,-13.5,-12.5,-1000.0,0.1,0.9022134217230126,-0.007565236104686179
,Penn State Nittany Lions,(Underdog),84,12.5,13.5,700.0,7.0,0.09778657827698745,-0.21770737378410043

20130227,Miami-Florida Hurricanes,(Favorite),76,-17.0,-16.5,-2000.0,0.05,0.9509509268832199,-0.0015015267726190829
,Virginia Tech Hokies,(Underdog),58,16.5,17.0,0.0,0.0,0.04904907311678007,-0.9509509268832199

20130227,Oklahoma State Cowboys,(Favorite),64,-14.5,-13.5,-1200.0,0.08333333333333333,0.9299198502718593,0.007413171127847576
,Texas Christian Horned Frogs,(Underdog),47,13.5,14.5,1000.0,10.0,0.07008014972814074,-0.2291183529904519

20130227,North Carolina State Wolfpack,(Favorite),82,-9.5,-9.5,-600.0,0.16666666666666666,0.8556521739130435,-0.0017391304347826042
,Boston College Eagles,(Underdog),64,9.5,9.5,450.0,4.5,0.1443478260869565,-0.20608695652173925

20130227,Iowa Hawkeyes,(Favorite),58,-9.0,-9.0,-450.0,0.2222222222222222,0.8105726872246696,-0.009300048947626094
,Purdue Boilermakers,(Underdog),48,9.0,9.0,375.0,3.75,0.1894273127753304,-0.10022026431718056

20130227,Kentucky Wildcats,(Favorite),85,-21.5,-21.0,-7306.0,0.01368738023542294,0.9872193925674403,0.0007318397692941143
,Mississippi State Bulldogs,(Underdog),55,21.0,21.5,4069.0,40.69,0.012780607432559895,-0.467176476136578

20130228,North Carolina Tar Heels,(Favorite),68,-4.0,-3.5,-165.0,0.6060606060606061,0.6344217751397752,0.01891982067903286
,Clemson Tigers,(Underdog),59,3.5,4.0,165.0,1.65,0.36557822486022484,-0.031217704120404144

20130228,Ohio State Buckeyes,(Favorite),63,-11.0,-10.0,-650.0,0.15384615384615385,0.8505950836551048,-0.018544134244109806
,Northwestern Wildcats,(Underdog),53,10.0,11.0,500.0,5.0,0.14940491634489514,-0.10357050193062911

20130228,Virginia Cavaliers,(Favorite),73,-1.0,1.0,-110.0,0.9090909090909091,0.5028524857375714,-0.04000889086463655
,Duke Blue Devils,(Underdog),68,-1.0,1.0,100.0,1.0,0.49714751426242865,-0.005704971475142706

20130313,Notre Dame Fighting Irish,(Favorite),69,-7.5,-7.5,-350.0,0.2857142857142857,0.7659817351598174,-0.015166340508806248
,Rutgers Scarlet Knights,(Underdog),61,7.5,7.5,300.0,3.0,0.23401826484018265,-0.0639269406392694

20130313,Stanford Cardinal,(Favorite),88,-3.5,-3.0,-160.0,0.625,0.633715779853617,0.02978814226212767
,Arizona State Sun Devils,(Underdog),89,3.0,3.5,150.0,1.5,0.366284220146383,-0.0842894496340425

20130313,Washington Huskies,(Favorite),64,-3.5,-3.0,-150.0,0.6666666666666666,0.6315662830945487,0.05261047182424772
,Washington State Cougars,(Underdog),62,3.0,3.5,150.0,1.5,0.36843371690545135,-0.07891570773637169

20130314,Pittsburgh Panthers,(Favorite),59,-2.5,-2.0,-130.0,0.7692307692307693,0.5619433328299607,-0.005792564993146454
,Syracuse Orange,(Underdog),62,2.0,2.5,120.0,1.2,0.4380566671700392,-0.036275332225913726

20130314,Georgia Tech Yellow Jackets,(Favorite),64,-2.0,-1.5,-125.0,0.8,0.5282548588720571,-0.04914125403029712
,Boston College Eagles,(Underdog),84,1.5,2.0,115.0,1.15,0.4717451411279428,0.01425205342507696

20130314,Minnesota Golden Gophers,(Favorite),49,-3.0,-2.5,-135.0,0.7407407407407407,0.60398436681359,0.05138019408291594
,Illinois Fighting Illini,(Underdog),51,2.5,3.0,135.0,1.35,0.3960156331864099,-0.06936326201193654

20130314,Kansas Jayhawks,(Favorite),91,-20.5,-20.0,-9100.0,0.01098901098901099,0.987816485817628,-0.0013283879645958237
,Texas Tech Red Raiders,(Underdog),63,20.0,20.5,4900.0,49.0,0.012183514182371978,-0.39082429088140114

20130314,Tennessee Volunteers,(Favorite),69,-13.5,-13.5,-1100.0,0.09090909090909091,0.9266304347826086,0.010869565217391255
,Mississippi State Bulldogs,(Underdog),53,13.5,13.5,900.0,9.0,0.07336956521739131,-0.2663043478260868

20130314,UCLA Bruins,(Favorite),80,-5.0,-4.5,-200.0,0.5,0.6667533300834553,0.00012999512518291345
,Arizona State Sun Devils,(Underdog),75,4.5,5.0,200.0,2.0,0.3332466699165448,-0.00025999025036560486

20130315,Miami-Florida Hurricanes,(Favorite),69,-9.5,-9.0,-550.0,0.18181818181818182,0.8400853951555295,-0.007171805725283337
,Boston College Eagles,(Underdog),58,9.0,9.5,500.0,5.0,0.15991460484447043,-0.0405123709331775

20130315,Duke Blue Devils,(Favorite),74,-11.5,-10.0,-600.0,0.16666666666666666,0.8498990288538433,-0.008451133003849531
,Maryland Terrapins,(Underdog),83,10.0,11.5,625.0,6.25,0.1501009711461568,0.08823204080963687

20130315,North Carolina Tar Heels,(Favorite),83,-9.0,-8.5,-400.0,0.25,0.8190366511153301,0.023795813894162604
,Florida State Seminoles,(Underdog),62,8.5,9.0,370.0,3.7,0.18096334888466992,-0.1494722602420514

20130315,Indiana Hoosiers,(Favorite),80,-10.0,-9.5,-575.0,0.17391304347826086,0.8435708909455844,-0.009721128020400982
,Illinois Fighting Illini,(Underdog),64,9.5,10.0,650.0,6.5,0.1564291090544157,0.1732183179081177

20130315,Ohio State Buckeyes,(Favorite),71,-15.0,-14.0,-1500.0,0.06666666666666667,0.9494608350586613,0.012758224062572057
,Nebraska Cornhuskers,(Underdog),50,14.0,15.0,1000.0,10.0,0.05053916494133885,-0.44406918564527265

