Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
6570,0.34,0.045,21.969296067060604,327
6571,0.34,0.046,38.740297511933434,324
6572,0.3,0.046,28.753022804409902,289
6573,0.3,0.046,40.256176143514104,313
6574,0.11,0.0,8.605411925920944,745
6575,0.11,0.0,12.975695143918497,778
6576,0.3,0.022,25.94658686973055,494
6577,0.31,0.021,24.633795630185855,531
6578,0.34,0.045,31.08254184006644,311
6579,0.34,0.046,33.538685407122124,297
6580,0.34,0.022,22.485824558681514,498
6581,0.34,0.047,33.02678684354578,296
6582,0.11,0.007,14.404936659937706,731
6583,0.3,0.024,17.99980385238371,489
6584,0.14,0.026,14.225156279121576,639
6585,0.16,0.021,13.01355462163336,642
6586,0.3,0.045,39.61240905881642,321
6587,0.31,0.025,21.21380938488164,459
6588,0.34,0.046,37.370354484465054,293
6589,0.08,0.023,8.167892692343152,732
6590,0.3,0.021,17.153171229735804,552
6591,0.16,0.023,12.016161538092598,623
6592,0.28,0.025,22.534371674398372,499
6593,0.3,0.022,17.24912222641995,515
6594,0.11,0.0,9.478701631673873,774
6595,0.3,0.021,19.426013403088273,522
6596,0.16,0.009,17.835578782333826,709
6597,0.11,0.0,7.916203855989515,755
6598,0.28,0.022,17.85300076247419,538
6599,0.11,0.0,10.664860396655563,763
6600,0.31,0.055,44.5784678941722,273
6601,0.09,0.0,14.293937311182242,781
6602,0.3,0.022,22.724031183232018,512
6603,0.34,0.023,26.321853426204367,495
6604,0.31,0.046,36.40600724833826,327
6605,0.31,0.044,27.71467730872026,336
6606,0.29,0.045,27.440592813611413,323
6607,0.3,0.022,28.962814368186855,518
6608,0.3,0.056,41.07480314851465,255
6609,0.16,0.0,9.948577618451166,771
6610,0.16,0.022,13.875742616679625,642
6611,0.31,0.043,27.839720154094476,310
6612,0.37,0.044,36.96107082655104,298
6613,0.31,0.046,30.708131910607932,297
6614,0.34,0.056,32.967084462666136,245
6615,0.31,0.045,36.57908252150533,323
6616,0.1,0.0,11.463135812018924,783
6617,0.31,0.047,26.38838826482461,311
6618,0.31,0.045,35.68093859300476,309
6619,0.12,0.0,12.498722147650861,761
6620,0.28,0.024,26.535177409813226,491
6621,0.16,0.025,10.405338197353736,601
6622,0.16,0.055,12.213389563457666,489
6623,0.11,0.0,13.522393728828375,756
6624,0.11,0.0,14.426582197147283,769
6625,0.31,0.045,35.72456223678435,309
6626,0.1,0.0,9.635396024992756,776
6627,0.36,0.038,31.141561061197848,319
6628,0.11,0.022,12.448219383309832,672
6629,0.36,0.046,26.2369199642993,318
6630,0.31,0.024,25.23022586469459,503
6631,0.1,0.011,11.691389149450929,688
6632,0.34,0.044,32.33429335490882,309
6633,0.31,0.044,30.636461473334975,313
6634,0.31,0.046,27.99877014309783,303
6635,0.31,0.046,23.66445434175926,309
6636,0.31,0.021,27.052367843836656,524
6637,0.3,0.023,27.949509163759494,499
6638,0.12,0.0,7.5858419189593045,777
6639,0.11,0.0,17.418012428738095,746
6640,0.14,0.025,11.730639572046385,649
6641,0.11,0.008,12.69846915706005,717
