Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV
20150927,New York Liberty,(Favorite), 64  ,-4.0,-3.5,-170.0,0.5882352941176471,0.5826519159852492,-0.07461166284695708
,Indiana Fever,(Underdog), 70 ,3.5,4.0,165.0,1.65,0.41734808401475065,0.10597242263908924

20151004,Minnesota Lynx,(Favorite), 69  ,-6.5,-6.0,-270.0,0.37037037037037035,0.6815223542727786,-0.0660619589595256
,Indiana Fever,(Underdog), 75 ,6.0,6.5,260.0,2.6,0.31847764572722126,0.14651952461799655

20151006,Minnesota Lynx,(Favorite), 77  ,-6.0,-6.0,-260.0,0.38461538461538464,0.7017543859649122,-0.028340080971659964
,Indiana Fever,(Underdog), 71 ,6.0,6.0,250.0,2.5,0.2982456140350877,0.04385964912280704

20151011,Indiana Fever,(Favorite), 75  ,-3.0,-2.0,-135.0,0.7407407407407407,0.5505194851883808,-0.04168830356096681
,Minnesota Lynx,(Underdog), 69 ,2.0,3.0,130.0,1.3,0.4494805148116192,0.03380518406672417

20151014,Minnesota Lynx,(Favorite), 69  ,-5.5,-5.0,-230.0,0.43478260869565216,0.6488389798248952,-0.06905711590341118
,Indiana Fever,(Underdog), 52 ,5.0,5.5,205.0,2.05,0.3511610201751047,0.07104111153406933

20160514,Minnesota Lynx,(Favorite), 95  ,-4.0,-4.0,-180.0,0.5555555555555556,0.5974025974025974,-0.07070707070707072
,Phoenix Mercury,(Underdog), 76 ,4.0,4.0,165.0,1.65,0.4025974025974026,0.06688311688311688

20160515,Los Angeles Sparks,(Favorite), 96  ,-9.5,-9.0,-475.0,0.21052631578947367,0.8571428571428572,0.03759398496240607
,Seattle Storm,(Underdog), 66 ,9.0,9.5,425.0,4.25,0.14285714285714285,-0.2500000000000001

20160531,Minnesota Lynx,(Favorite), 79 ,-5.5,-5.5,-225.0,0.4444444444444444,0.631578947368421,-0.08771929824561409
,New York Liberty,(Underdog), 69  ,5.5,5.5,210.0,2.1,0.3684210526315789,0.14210526315789473

