Sample Index,Epsilon,EV Threshold,ROI,Number of Bets
5826,0.14,0.018,17.182502799067183,223
5827,0.32,0.083,27.469650235526917,158
5828,0.32,0.018,38.14998229674419,230
5829,0.16,0.023,26.009325982196785,211
5830,0.16,0.045,26.82709969116972,192
5831,0.3,0.018,28.977283323006887,225
5832,0.16,0.074,38.29402039582829,176
5833,0.31,0.149,30.027350946698743,89
5834,0.18,0.078,41.610634805579174,171
5835,0.16,0.074,16.36124150407088,168
5836,0.32,0.018,32.574848100142276,219
5837,0.31,0.02,12.113860019837286,209
5838,0.03,0.019,6.474842115829153,237
5839,0.31,0.091,25.327325084395586,144
5840,0.31,0.076,31.356758361891956,145
5841,0.16,0.014,18.076630200913243,220
5842,0.18,0.02,28.070724322457718,219
5843,0.31,0.027,21.172382783690637,194
5844,0.13,0.076,14.425392137617052,187
5845,0.32,0.012,15.428577142810202,219
5846,0.27,0.067,35.804070287601476,172
5847,0.16,0.014,17.521771736508338,226
5848,0.31,0.018,23.54184464405388,216
5849,0.32,0.015,23.123323340052696,233
5850,0.03,0.05,10.501445731366042,231
5851,0.16,0.02,20.837514848335708,226
5852,0.31,0.018,16.42759097984997,223
5853,0.31,0.091,45.626140742701544,150
5854,0.31,0.076,24.67714619250879,142
5855,0.32,0.023,27.645981445213224,207
5856,0.27,0.027,16.436912222878195,211
5857,0.28,0.079,16.352740945106927,164
5858,0.31,0.091,33.13684368024074,148
5859,0.16,0.018,18.203005038389,222
5860,0.27,0.018,15.816384551187957,219
5861,0.03,0.05,6.581069933861711,240
5862,0.16,0.006,32.14503874261655,232
5863,0.32,0.027,15.03334619735137,204
5864,0.31,0.027,33.352536996651736,203
5865,0.18,0.018,15.460980531451105,239
5866,0.31,0.045,33.23827610880057,178
5867,0.16,0.003,22.452291067030004,226
5868,0.16,0.018,20.176962378348932,225
5869,0.32,0.103,35.476684827248015,121
5870,0.32,0.023,16.794948795312756,204
5871,0.32,0.074,32.82811688409094,157
5872,0.22,0.02,10.352309308203973,225
5873,0.28,0.108,28.89470966300355,138
5874,0.16,0.149,16.948896338079322,114
5875,0.32,0.151,30.946281014005468,74
5876,0.13,0.076,9.137076667429598,180
5877,0.17,0.019,16.64276884591991,220
5878,0.16,0.027,27.877492561388266,220
5879,0.16,0.12,20.822557637480276,136
5880,0.32,0.045,52.789002879784604,181
5881,0.38,0.15,41.07791514041516,88
5882,0.28,0.024,20.795599549878514,221
5883,0.31,0.155,38.8331711682612,91
5884,0.16,0.006,22.737775011163567,227
5885,0.32,0.015,13.484950612318222,211
5886,0.32,0.09,40.50733462866741,126
5887,0.31,0.091,38.6392146430713,148
5888,0.16,0.027,12.635171802248257,208
5889,0.16,0.077,20.020078310859198,169
5890,0.27,0.122,42.53285166044486,112
5891,0.31,0.093,39.41909942100805,119
5892,0.16,0.006,27.05001866956077,229
5893,0.31,0.02,30.7426534689283,222
5894,0.31,0.023,18.652218881796397,205
5895,0.16,0.015,17.84398469421329,235
5896,0.16,0.018,14.698727018686636,225
5897,0.16,0.014,9.65702390297195,230
5898,0.27,0.018,14.733927497353005,220
5899,0.16,0.023,19.797561087823,211
5900,0.16,0.067,25.550321483305744,186
5901,0.31,0.023,30.71270439505806,213
5902,0.16,0.068,31.74573313287661,172
5903,0.31,0.023,23.10908130086569,216
5904,0.31,0.093,41.46605546240201,134
5905,0.28,0.076,22.52035119530001,162
5906,0.16,0.023,18.233907756169856,225
5907,0.18,0.023,25.02327435799398,215
5908,0.16,0.027,10.581037528436072,207
5909,0.16,0.015,6.91430975124038,231
5910,0.31,0.018,24.395963838751893,223
5911,0.16,0.077,23.76296970645868,172
5912,0.31,0.076,27.54933166011955,145
5913,0.31,0.019,33.23325052189779,228
5914,0.31,0.099,22.827427589160035,137
5915,0.16,0.083,19.712899230729015,165
5916,0.18,0.02,12.512170546367898,223
5917,0.27,0.122,34.961669221449014,105
5918,0.31,0.027,28.69146307831752,217
5919,0.16,0.027,16.926215736503448,227
5920,0.28,0.076,29.003850152706,167
5921,0.16,0.023,10.67159349127092,225
5922,0.32,0.046,15.887234518735994,205
5923,0.32,0.083,23.300252298475773,149
5924,0.32,0.12,35.4782967481626,90
5925,0.22,0.083,20.951571552821335,158
5926,0.07,0.081,8.01261589488651,211
5927,0.16,0.014,12.245422876782316,232
5928,0.16,0.023,18.079212158083564,218
5929,0.32,0.061,12.768071212630586,180
5930,0.16,0.079,17.520236491279714,162
5931,0.16,0.068,23.81754416721626,190
5932,0.16,0.023,26.36638182099344,218
5933,0.31,0.023,30.58639134340299,220
5934,0.28,0.079,23.39841759004434,162
5935,0.33,0.09,36.46499066085185,133
5936,0.16,0.018,14.36470816679656,224
5937,0.16,0.074,25.44805766268896,173
5938,0.16,0.014,19.930586734384693,235
5939,0.32,0.019,21.1663162078946,217
5940,0.31,0.023,35.67114470264462,208
5941,0.16,0.003,21.016389684054293,226
5942,0.32,0.027,26.38779659572492,200
5943,0.16,0.015,20.674031483779284,230
5944,0.32,0.023,26.403384314469868,206
5945,0.31,0.023,22.026658347573186,209
5946,0.16,0.015,10.76161987697216,229
5947,0.31,0.093,23.66149637855304,140
5948,0.16,0.023,18.24234474244281,217
5949,0.18,0.015,11.43401076082423,232
5950,0.32,0.151,40.349580487027865,82
5951,0.32,0.019,33.59945419954034,215
5952,0.13,0.02,21.027649489120652,220
5953,0.16,0.018,32.78417577542016,217
5954,0.05,0.022,10.45690570570358,225
5955,0.18,0.027,16.93611138195651,220
5956,0.32,0.023,31.81746268648172,200
5957,0.32,0.018,22.800272984837264,219
5958,0.31,0.083,35.15474185822631,143
5959,0.27,0.153,18.841964335168846,93
5960,0.32,0.045,24.744305783267645,186
5961,0.31,0.098,12.999732186398694,137
5962,0.18,0.076,21.381182441720924,171
5963,0.16,0.023,31.63771522472671,211
5964,0.28,0.087,23.083103631843034,149
5965,0.28,0.076,15.675437701943418,163
5966,0.28,0.091,30.09452404675357,148
5967,0.31,0.02,32.799899028794144,216
5968,0.17,0.068,24.631736654609686,182
5969,0.16,0.023,16.903128942804262,215
5970,0.31,0.076,23.997748809495565,167
5971,0.31,0.023,25.214369736090553,207
5972,0.18,0.018,15.293137125061785,231
5973,0.32,0.018,38.05955914402593,225
5974,0.16,0.12,16.08039573135611,140
5975,0.16,0.083,26.24588170823758,181
5976,0.16,0.003,16.926900283608703,230
5977,0.18,0.018,13.950697986482105,218
5978,0.32,0.067,41.76441678735186,157
5979,0.28,0.091,30.38850608467642,146
5980,0.28,0.149,24.895997312850735,110
5981,0.32,0.083,21.934108016547196,131
5982,0.32,0.018,22.21679380935556,209
5983,0.31,0.091,42.214240242459745,143
5984,0.14,0.076,11.466027275812532,172
5985,0.32,0.019,21.507995928842895,207
5986,0.31,0.102,30.426988396224825,137
5987,0.16,0.015,13.319124077154134,225
5988,0.16,0.149,18.00757152561615,125
5989,0.16,0.065,25.931508979398977,185
5990,0.31,0.023,30.971354138831597,203
5991,0.16,0.023,21.264459379677575,219
5992,0.31,0.091,32.62079200802071,146
5993,0.18,0.019,17.840833522338,226
5994,0.31,0.13,29.76309066647695,104
5995,0.32,0.144,43.43018646055733,93
5996,0.31,0.093,28.680504687073782,138
5997,0.16,0.003,18.83186892550092,230
5998,0.32,0.023,16.779503840016357,206
5999,0.31,0.121,37.69696063162489,95
6000,0.18,0.088,16.1949106899903,154
6001,0.28,0.091,24.889800697181155,129
6002,0.03,0.019,7.3848115872386115,239
6003,0.16,0.035,25.13953103806784,220
6004,0.31,0.023,23.98951911171801,206
6005,0.31,0.016,27.296742780969158,226
6006,0.16,0.019,15.715365343167731,224
6007,0.16,0.023,25.69866033049792,217
6008,0.32,0.027,29.89242272849917,204
6009,0.32,0.041,29.516025655684025,175
6010,0.31,0.076,27.98038552225588,158
6011,0.16,0.027,15.02080946770774,214
6012,0.16,0.018,10.321039298008468,229
6013,0.16,0.018,11.826941534651795,211
6014,0.31,0.045,16.302962082648747,197
6015,0.32,0.046,5.873504497127705,174
6016,0.18,0.182,12.617818721546465,100
6017,0.32,0.027,40.64676139472095,184
6018,0.31,0.093,37.70376429553421,138
