Date,Teams,Favorite/Underdog,Score,Spread Min,Spread Max,Moneyline,Payout,Win Percentage,EV
,Stanford Cardinal,(Underdog), 38 ,4.0,4.5,170.0,1.7,0.36200934802308393,-0.02257476033767336

20091017,Illinois Fighting Illini,(Favorite), 14 ,-4.0,-3.0,-145.0,0.6896551724137931,0.5932758699826491,0.0024316423844761847
,Indiana Hoosiers,(Underdog), 27 ,3.0,4.0,145.0,1.45,0.4067241300173509,-0.003525881457490221

20091017,Kansas Jayhawks,(Favorite), 30 ,-8.5,-7.5,-280.0,0.35714285714285715,0.7322689904458426,-0.006206370109213599
,Colorado Buffaloes,(Underdog), 34 ,7.5,8.5,280.0,2.8,0.2677310095541574,0.017377836305798144

20091017,Florida Gators,(Favorite), 23 ,-24.5,-24.0,-4500.0,0.022222222222222223,0.9332077051926297,-0.04605434580308959
,Arkansas Razorbacks,(Underdog), 20 ,24.0,24.5,2250.0,22.5,0.06679229480737019,0.5696189279731992

20091017,Arizona State Sun Devils,(Favorite), 24 ,-6.5,-6.0,-210.0,0.47619047619047616,0.678853278059586,0.002116743802245913
,Washington Huskies,(Underdog), 17 ,6.0,6.5,220.0,2.2,0.32114672194041405,0.027669510209325066

20091022,North Carolina Tar Heels,(Favorite), 27 ,-2.0,-1.5,-120.0,0.8333333333333334,0.5324750714849633,-0.02379570227756722
,Florida State Seminoles,(Underdog), 30 ,1.5,2.0,110.0,1.1,0.4675249285150367,-0.018197650118422892

20091024,Penn State Nittany Lions,(Favorite), 35 ,-4.5,-3.0,-165.0,0.6060606060606061,0.6077587188084231,-0.023902663731926455
,Michigan Wolverines,(Underdog), 10 ,3.0,4.5,170.0,1.7,0.3922412811915769,0.05905145921725774

20091024,Southern California Trojans,(Favorite), 42 ,-21.0,-20.5,-1100.0,0.09090909090909091,0.9300253164556962,0.014573072497123127
,Oregon State Beavers,(Underdog), 36 ,20.5,21.0,800.0,8.0,0.0699746835443038,-0.37022784810126574

20091029,Virginia Tech Hokies,(Favorite), 17 ,-16.0,-14.0,-750.0,0.13333333333333333,0.8629827077969886,-0.021952931163412917
,North Carolina Tar Heels,(Underdog), 20 ,14.0,16.0,600.0,6.0,0.13701729220301143,-0.04087895457891999

